Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
IND00436,2020-05-26,,,,,,470.0,,,,,8.8,,,,,8.2,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,5.6,44000.0,,,,,,,,,,,,,,,,,,,,,,,,0.2565000057220459,0.22380000352859497,0.1289999932050705,0.149399995803833,0.16699999570846558,0.1753000020980835,0.21289999783039093,0.23180000483989716,0.22360000014305115,0.243599995970726
IND00436,2020-06-10,,,,,,476.0,,,,,8.4,,,,,8.1,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,5.8,48000.0,,,,,,,,,,,,,,,,,,,,,,,,0.24459999799728394,0.22050000727176666,0.11259999871253967,0.13259999454021454,0.12999999523162842,0.1680999994277954,0.21389999985694885,0.23909999430179596,0.23319999873638153,0.25369998812675476
IND00436,2020-10-06,,,,,,498.0,,,,,8.0,,,,,8.0,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,6.0,50000.0,,,,,,,,,,,,,,,,,,,,,,,,0.20270000398159027,0.1632000058889389,0.07900000363588333,0.09749999642372131,0.10920000076293945,0.1298000067472458,0.181099995970726,0.21240000426769257,0.20029999315738678,0.22190000116825104
IND00436,2020-11-09,,,,,,492.0,,,,,8.2,,,,,8.2,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,5.8,48000.0,,,,,,,,,,,,,,,,,,,,,,,,0.1716500073671341,0.1425500065088272,0.1264999955892563,0.13519999384880066,0.13199999928474426,0.1518000066280365,0.16975000500679016,0.1762000024318695,0.18035000562667847,0.186599999666214
IND00436,2020-12-01,,,,,,498.0,,,,,8.0,,,,,8.0,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,6.2,50000.0,,,,,,,,,,,,,,,,,,,,,,,,0.15404999256134033,0.12680000066757202,0.13940000534057617,0.1446000039577484,0.13199999928474426,0.1537500023841858,0.17219999432563782,0.179299995303154,0.1679999977350235,0.1772499978542328
IND00436,2021-01-06,,,,,,516.0,,,,,8.4,,,,,8.2,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,6.0,55000.0,,,,,,,,,,,,,,,,,,,,,,,,0.13199999928474426,0.11429999768733978,0.06390000134706497,0.08129999786615372,0.08150000125169754,0.09239999949932098,0.11460000276565552,0.10790000110864639,0.10589999705553055,0.11429999768733978
IND00436,2021-02-05,,,,,,522.0,,,,,8.2,,,,,8.28,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,6.2,58000.0,,,,,,,,,,,,,,,,,,,,,,,,0.15569999814033508,0.13539999723434448,0.12729999423027039,0.1282999962568283,0.12720000743865967,0.14135000109672546,0.1395999938249588,0.1412999927997589,0.13285000622272491,0.14339999854564667
IND00436,2021-03-16,,,,,,534.0,,,,,8.0,,,,,8.2,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,6.6,60000.0,,,,,,,,,,,,,,,,,,,,,,,,0.19654999673366547,0.1765500009059906,0.11460000276565552,0.13189999759197235,0.1379999965429306,0.16030000150203705,0.16850000619888306,0.17464999854564667,0.1738000065088272,0.18240000307559967
IND00472,2018-01-08,,,,,,542.0,,,,,7.3,,,,,7.3,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,2.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,0.02590000070631504,0.017899999395012856,0.04610000178217888,0.06159999966621399,0.05050000175833702,0.06080000102519989,0.04320000112056732,0.05590000003576279,0.04129999876022339,0.04650000110268593
IND00472,2018-12-29,,,,,,218.0,,,,,6.8,,,,,7.3,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,2.8,15.0,,,,,,,,,,,,,,,,,,,,,,,,0.08869999647140503,0.06714999675750732,0.09404999762773514,0.10080000013113022,0.08654999732971191,0.08205000311136246,0.09279999881982803,0.09754999727010727,0.11084999889135361,0.09004999697208405
IND00472,2019-01-29,,,,,,2442.0,,,,,7.5,,,,,7.5,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,2.2,30.0,,,,,,,,,,,,,,,,,,,,,,,,0.09030000120401382,0.06714999675750732,0.04439999908208847,0.06069999933242798,0.05355000123381615,0.06235000118613243,0.08529999852180481,0.09345000237226486,0.10665000230073929,0.10790000110864639
IND00472,2019-03-29,,,,,,220.0,,,,,7.1,,,,,7.2,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,3.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,0.07249999791383743,0.050599999725818634,0.04270000010728836,0.059300001710653305,0.04650000110268593,0.054099999368190765,0.07169999927282333,0.05660000070929527,0.061799999326467514,0.07460000365972519
IND00472,2019-04-29,,,,,,328.0,,,,,7.3,,,,,7.4,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,4.5,55.0,,,,,,,,,,,,,,,,,,,,,,,,0.07169999927282333,0.05620000138878822,0.05950000137090683,0.07280000299215317,0.06120000034570694,0.0738999992609024,0.07859999686479568,0.07329999655485153,0.07119999825954437,0.07150000333786011
IND00472,2019-05-27,,,,,,350.0,,,,,7.4,,,,,7.5,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,3.1,75.0,,,,,,,,,,,,,,,,,,,,,,,,0.1071000024676323,0.0803999975323677,0.11299999803304672,0.1281999945640564,0.125,0.13750000298023224,0.11159999668598175,0.13220000267028809,0.12030000239610672,0.1274999976158142
IND00472,2019-10-25,,,,,,150.0,,,,,8.2,,,,,7.0,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,3.1,85.0,,,,,,,,,,,,,,,,,,,,,,,,0.08375000208616257,0.0494999997317791,0.044349998235702515,0.052799999713897705,0.041099999099969864,0.05860000103712082,0.09504999965429306,0.1274999976158142,0.125,0.12970000505447388
IND00472,2019-11-26,,,,,,160.0,,,,,7.9,,,,,6.9,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,3.2,60.0,,,,,,,,,,,,,,,,,,,,,,,,0.0689999982714653,0.03970000147819519,0.04360000044107437,0.05040000006556511,0.041099999099969864,0.055799998342990875,0.06880000233650208,0.08569999784231186,0.08070000261068344,0.10589999705553055
IND00472,2019-12-28,,,,,,160.0,,,,,7.3,,,,,7.6,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,2.9,55.0,,,,,,,,,,,,,,,,,,,,,,,,0.04735000059008598,0.035599999129772186,0.026249999180436134,0.03739999979734421,0.025350000709295273,0.03830000013113022,0.04859999939799309,0.03985000029206276,0.03660000115633011,0.0560000017285347
IND00472,2020-01-27,,,,,,150.0,,,,,7.6,,,,,6.7,LOKTAK LAKE AT BISHNUPUR,24.5783,93.765,India,,,,,,,,,,,3.3,60.0,,,,,,,,,,,,,,,,,,,,,,,,0.07100000232458115,0.04975000023841858,0.031300000846385956,0.04859999939799309,0.04324999824166298,0.05570000037550926,0.08229999989271164,0.0746999979019165,0.07434999942779541,0.08489999920129776
