Station,Date,Alk-Tot,EC,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,COL-True,Cluster,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
URY00076,2020-06-12,56.0,161.0,13.0,5.1,7.6,Toma de agua,-34.8297,-55.0421,South America,25.0,678,0.0034000000450760126,0.003100000089034438,0.016899999231100082,0.03909999877214432,0.023600000888109207,0.02969999983906746,0.008799999952316284,0.007400000002235174,0.006000000052154064,0.0044999998062849045
URY00076,2020-06-15,55.0,158.0,10.0,5.3,7.4,Toma de agua,-34.8297,-55.0421,South America,27.0,678,0.0034000000450760126,0.003100000089034438,0.016899999231100082,0.03909999877214432,0.023600000888109207,0.02969999983906746,0.008799999952316284,0.007400000002235174,0.006000000052154064,0.0044999998062849045
URY00076,2020-06-16,53.0,158.0,11.0,3.0,7.4,Toma de agua,-34.8297,-55.0421,South America,38.0,678,0.0034000000450760126,0.003100000089034438,0.016899999231100082,0.03909999877214432,0.023600000888109207,0.02969999983906746,0.008799999952316284,0.007400000002235174,0.006000000052154064,0.0044999998062849045
URY00076,2020-06-17,50.0,157.0,13.0,3.0,7.5,Toma de agua,-34.8297,-55.0421,South America,22.0,678,0.0034000000450760126,0.003100000089034438,0.016899999231100082,0.03909999877214432,0.023600000888109207,0.02969999983906746,0.008799999952316284,0.007400000002235174,0.006000000052154064,0.0044999998062849045
URY00076,2020-06-18,51.0,153.0,14.0,2.9,7.3,Toma de agua,-34.8297,-55.0421,South America,23.0,678,0.0034000000450760126,0.003100000089034438,0.016899999231100082,0.03909999877214432,0.023600000888109207,0.02969999983906746,0.008799999952316284,0.007400000002235174,0.006000000052154064,0.0044999998062849045
URY00076,2020-06-19,50.0,154.0,13.0,2.74,7.45,Toma de agua,-34.8297,-55.0421,South America,33.0,678,0.0034000000450760126,0.003100000089034438,0.016899999231100082,0.03909999877214432,0.023600000888109207,0.02969999983906746,0.008799999952316284,0.007400000002235174,0.006000000052154064,0.0044999998062849045
URY00076,2020-06-22,55.0,150.0,13.0,3.5,7.3,Toma de agua,-34.8297,-55.0421,South America,32.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-06-23,52.0,150.0,13.0,2.8,7.4,Toma de agua,-34.8297,-55.0421,South America,30.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-06-24,50.0,147.0,13.0,2.7,7.3,Toma de agua,-34.8297,-55.0421,South America,36.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-06-25,50.0,146.0,13.0,2.9,7.4,Toma de agua,-34.8297,-55.0421,South America,32.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-06-26,50.0,156.0,12.0,2.9,7.5,Toma de agua,-34.8297,-55.0421,South America,41.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-06-29,51.0,166.0,11.0,4.2,7.5,Toma de agua,-34.8297,-55.0421,South America,43.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-06-30,43.0,141.0,11.0,8.1,7.4,Toma de agua,-34.8297,-55.0421,South America,65.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-07-01,42.0,143.0,11.0,5.4,7.4,Toma de agua,-34.8297,-55.0421,South America,56.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-07-02,50.0,131.0,10.0,9.0,7.4,Toma de agua,-34.8297,-55.0421,South America,74.0,678,0.002400000113993883,0.0015999999595806003,0.01769999973475933,0.03460000082850456,0.02019999921321869,0.02280000038444996,0.004000000189989805,0.00559999980032444,0.0031999999191612005,0.0019000000320374966
URY00076,2020-07-03,45.0,139.0,10.0,8.0,7.3,Toma de agua,-34.8297,-55.0421,South America,25.0,678,0.004650000017136335,0.002850000048056245,0.02500000037252903,0.0348999984562397,0.02800000086426735,0.02865000069141388,0.011350000277161598,0.011649999767541885,0.008949999697506428,0.008349999785423279
URY00076,2020-07-04,42.0,125.0,11.9,8.0,7.2,Toma de agua,-34.8297,-55.0421,South America,49.0,678,0.006899999920278788,0.004100000020116568,0.03229999914765358,0.03519999980926514,0.03579999879002571,0.03449999913573265,0.018699999898672104,0.01769999973475933,0.014700000174343586,0.014800000004470348
URY00076,2020-07-06,42.0,142.0,10.0,6.0,7.3,Toma de agua,-34.8297,-55.0421,South America,56.0,678,0.004800000227987766,0.002899999963119626,0.021649999544024467,0.02824999950826168,0.029349999502301216,0.027899999171495438,0.011800000444054604,0.011350000277161598,0.011049999855458736,0.00839999970048666
URY00076,2020-07-07,41.0,142.0,10.0,5.5,7.4,Toma de agua,-34.8297,-55.0421,South America,54.0,678,0.004800000227987766,0.002899999963119626,0.021649999544024467,0.02824999950826168,0.029349999502301216,0.027899999171495438,0.011800000444054604,0.011350000277161598,0.011049999855458736,0.00839999970048666
URY00076,2020-07-08,48.0,136.0,10.0,0.1,7.2,Toma de agua,-34.8297,-55.0421,South America,56.0,678,0.006899999920278788,0.004100000020116568,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
URY00076,2020-07-09,43.0,132.0,10.0,7.3,7.3,Toma de agua,-34.8297,-55.0421,South America,58.0,678,0.006899999920278788,0.004100000020116568,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
