TZA00015;2016-01-07;00:00;0.5;Alk-Tot;0;;62.0;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;EC;EC-CND-FLD;;113.0;µS/cm;Fair
TZA00015;2016-01-07;00:00;0.5;TP;COL-AA-PPS;;0.0603;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;SO4-Tot;SO4-TURB;;4.63;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;TDP;COL-AA-SA-PPS;;0.04;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;TURB;NEPH;;6.5;NTU;Fair
TZA00015;2016-01-07;00:00;9.0;TDN;COL-AZO-Cd-PS;;0.077;mg/l;Fair
TZA00016;2016-01-07;00:00;2.0;Ca-Tot;0;;5.0;mg/l;Fair
TZA00016;2016-01-07;00:00;2.0;SO4-Tot;SO4-TURB;;4.12;mg/l;Fair
TZA00016;2016-01-07;00:00;2.0;O2-Dis;O2-ISE;;6.69;mg/l;Fair
TZA00016;2016-01-07;00:00;2.0;H-T;T-COL-EDTA-EBT;;25.0;mg/l;Fair
TZA00016;2016-01-07;00:00;8.0;SiO2-Rea;COL-HB;;10.1;mg/l;Fair
TZA00016;2016-01-07;00:00;8.0;SO4-Tot;SO4-TURB;;3.26;mg/l;Fair
TZA00016;2016-01-07;00:00;8.0;TSS;TSS-G;;50.0;mg/l;Fair
TZA00016;2016-01-07;00:00;8.0;O2-Dis;O2-ISE;;4.89;mg/l;Fair
TZA00016;2016-01-07;00:00;8.0;H-T;T-COL-EDTA-EBT;;31.8;mg/l;Fair
TZA00016;2016-01-07;00:00;0.5;TDP;COL-AA-SA-PPS;;0.07;mg/l;Fair
TZA00016;2016-01-07;00:00;0.5;NH4N;COL-PHE;;0.18;mg/l;Fair
TZA00016;2016-01-07;00:00;0.5;Alk-Phen;0;;58.0;mg/l;Fair
TZA00016;2016-01-07;00:00;0.5;Mg-Tot;0;;4.37;mg/l;Fair
