Station,Date,Time,Alk-Tot,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,O2-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
RUS00024,2021-06-25,,64.0,10.6,0.6,1204.0,0.02,5.7,0.01,0.05,,6.4,0.5,0.02,3.8,2.0,0.002,8.0,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,64.0,10.6,0.6,1204.0,0.02,5.7,0.01,0.05,,6.4,0.5,0.02,3.8,2.0,0.002,8.0,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,66.0,10.6,0.6,1212.0,0.03,5.8,0.01,0.11,9.8,5.9,1.5,0.02,3.8,2.0,0.002,7.6,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,66.0,10.6,0.6,1212.0,0.03,5.8,0.01,0.11,9.8,5.9,1.5,0.02,3.8,2.0,0.002,7.6,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,66.0,10.6,0.6,1212.0,0.03,5.8,0.01,0.11,9.8,5.9,1.5,0.02,3.8,2.0,0.002,7.6,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,66.0,10.6,0.6,1212.0,0.03,5.8,0.01,0.11,9.8,5.9,1.5,0.02,3.8,2.0,0.002,7.6,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,66.0,10.6,0.6,1212.0,0.03,5.8,0.01,0.11,9.8,5.9,1.5,0.02,3.8,2.0,0.002,7.6,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-09-09,,65.0,10.6,0.6,1222.0,0.01,6.0,0.01,0.01,10.3,6.3,0.7,0.02,10.8,2.0,0.001,8.1,Baikal Lake - Uzur,53.1667,108.0,0.001500000013038516,0.002400000113993883,0.009650000371038914,0.008200000040233135,0.002300000051036477,0.0010499999625608325,0.0002500000118743628,0.00044999999227002263,0.0002500000118743628,0.0010000000474974513
RUS00024,2021-09-09,,65.0,10.6,0.6,1222.0,0.01,6.0,0.01,0.01,10.3,6.3,0.7,0.02,10.8,2.0,0.001,8.1,Baikal Lake - Uzur,53.1667,108.0,0.001500000013038516,0.002400000113993883,0.009650000371038914,0.008200000040233135,0.002300000051036477,0.0010499999625608325,0.0002500000118743628,0.00044999999227002263,0.0002500000118743628,0.0010000000474974513
RUS00024,2021-09-09,,65.0,10.6,0.6,1222.0,0.01,6.0,0.01,0.01,10.3,6.3,0.7,0.02,10.8,2.0,0.001,8.1,Baikal Lake - Uzur,53.1667,108.0,0.001500000013038516,0.002400000113993883,0.009650000371038914,0.008200000040233135,0.002300000051036477,0.0010499999625608325,0.0002500000118743628,0.00044999999227002263,0.0002500000118743628,0.0010000000474974513
