Chl-a,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
5.25490795536887,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
5.25490795536887,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
5.25490795536887,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
5.25490795536887,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
5.25490795536887,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
5.25490795536887,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
5.25490795536887,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
5.25490795536887,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
0.946098358603028,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
0.946098358603028,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
0.946098358603028,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
0.946098358603028,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
0.946098358603028,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
0.946098358603028,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
0.946098358603028,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
0.946098358603028,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
